532,200
606,200
618,200
573,200
631,2000
901,200
721,2000
514,200
14,200
542,200
685,200
1957,2000
515,200
787,20
630,2000
548,200
814,200
885,200
1956,1999
545,200
891,40
558,200
516,200
872,1000
638,200
325,1000
565,200
680,200
812,40
825,200
753,200
797,20
530,200
1950,200
853,200
264,200
536,200
526,200
513,666
1036,200
1025,200
1308,20
557,100
1966,200
1029,200
588,200
829,40
590,200
668,200
593,200
1027,200
622,200
658,200
533,200
876,200
546,200
572,200
808,500
824,500
673,200
517,200
684,200
958,20
1040,200
760,200
843,100
1022,20
657,200
1026,200
646,200
647,200
561,200
568,200
712,200
769,20
552,200
1955,200
662,200
663,200
577,200
1954,200
1355,200
1034,200
744,200
1387,200
1012,20
570,200
689,200
1030,200
1031,200
1014,20
1371,200
650,200
1403,200
900,200
602,200
625,200
1958,200
632,200
1959,200
728,200
538,200
562,200
555,100
884,200
810,200
283,200
1068,20
1035,200
609,200
554,200
531,200
518,200
519,200
587,200
564,200
634,200
667,200
826,200
772,200
875,200
594,200
852,200
1946,200
1037,200
571,200
1038,200
522,200
589,200
788,200
584,200
683,200
1028,200
574,200
1962,200
669,200
654,199
586,199
605,199
1310,20
860,20
811,40
844,100
600,40
1982,20
1010,20
868,20
556,100
907,40
780,20
845,100
1302,20
785,20
881,40
782,20
616,32
827,40
796,20
783,20
1011,20
798,20
1300,20
776,40
792,54
954,20
774,20
862,20
1019,20
696,20
1009,20
820,20
1307,20
1018,20
1298,20
549,20
813,40
1067,20
911,20
790,20
1306,20
804,20
1001,40
1297,20
894,40
859,20
1299,20
1978,20
1015,20
926,20
1013,20
779,20
778,20
795,20
968,20
794,20
1304,20
869,20
1303,20
770,20
858,20
938,20
1021,20
1301,20
771,20
897,20
775,20
1309,20
773,20
1069,20
791,20
786,20
861,20
856,20
789,20
781,20
1020,20
831,7
879,13
1352,14
801,2
1407,4
1368,2
1384,1
